,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
5532,1100924,RO,CHUPINGUAIA,69
5533,1100908,RO,CASTANHEIRAS,69
5534,1100809,RO,CANDEIAS DO JAMARI,69
5535,1100700,RO,CAMPO NOVO DE RONDÔNIA,69
5536,1100601,RO,CACAULÂNDIA,69
5537,1100502,RO,NOVO HORIZONTE DO OESTE,69
5538,1100452,RO,BURITIS,69
5539,1100403,RO,ALTO PARAÍSO,69
5540,1100346,RO,ALVORADA D'OESTE,69
5541,1100338,RO,NOVA MAMORÉ,69
5542,1100320,RO,SÃO MIGUEL DO GUAPORÉ,69
5543,1100304,RO,VILHENA,69
5544,1100296,RO,SANTA LUZIA D'OESTE,69
5545,1100288,RO,ROLIM DE MOURA,69
5546,1100262,RO,RIO CRESPO,69
5547,1100254,RO,PRESIDENTE MÉDICI,69
5548,1100205,RO,PORTO VELHO,69
5549,1100189,RO,PIMENTA BUENO,69
5550,1100155,RO,OURO PRETO DO OESTE,69
5551,1100148,RO,NOVA BRASILÂNDIA D'OESTE,69
5552,1100130,RO,MACHADINHO D'OESTE,69
5553,1100122,RO,JI-PARANÁ,69
5554,1100114,RO,JARU,69
5555,1100106,RO,GUAJARÁ-MIRIM,69
5556,1100098,RO,ESPIGÃO D'OESTE,69
5557,1100080,RO,COSTA MARQUES,69
5558,1100072,RO,CORUMBIARA,69
5559,1100064,RO,COLORADO DO OESTE,69
5560,1100056,RO,CEREJEIRAS,69
5561,1100049,RO,CACOAL,69
5562,1100031,RO,CABIXI,69
5563,1100023,RO,ARIQUEMES,69
5564,1100015,RO,ALTA FLORESTA D'OESTE,69
